code,amount,date,name,area
1,1694117000.0,2010,Impuestos directos,funcional
10,111716000.0,2010,Impuesto sobre la Renta,funcional
100,111716000.0,2010,Impuestos sobre la Renta de las Personas Físicas,funcional
11,1451085000.0,2010,Impuestos sobre el capital,funcional
112,43000.0,2010,Impuesto sobre Bienes Inmuebles Bienes Inmubles de Naturaleza Rústica,funcional
113,964322000.0,2010,Impuesto sobre Bienes Inmuebles Bienes inmuebles de Naturaleza Urbana,funcional
114,40454000.0,2010,Impuesto sobre Bienes Inmuebles Bienes Inmuebles de características especiales,funcional
115,190103000.0,2010,Impuesto sobre Vehículos de Tracción Mecánica,funcional
116,256163000.0,2010,Impuesto sobre Incremento del Valor de los Terrenos de Naturaleza Urbana,funcional
13,131256000.0,2010,Impuesto sobre las Actividades Económicas,funcional
130,131256000.0,2010,Impuesto sobre Actividades Económicas,funcional
18,60000.0,2010,Impuestos directos extinguidos,funcional
2,177688000.0,2010,Impuestos indirectos,funcional
21,42450000.0,2010,Impuestos sobre el Valor Añadido,funcional
210,42450000.0,2010,Impuesto sobre el Valor Añadido,funcional
22,15038000.0,2010,Sobre consumos específicos,funcional
220-00,823000.0,2010,Impuesto sobre el alcohol y bebidas derivadas,funcional
220-01,262000.0,2010,Impuesto sobre la cerveza,funcional
220-03,6605000.0,2010,Impuesto sobre las labores del tabaco,funcional
220-04,7329000.0,2010,Impuesto sobre hidrocarburos,funcional
220-06,19000.0,2010,Impuesto sobre productos intermedios,funcional
29,120200000.0,2010,Otros impuestos indirectos,funcional
290,120200000.0,2010,"Impuesto sobre construcciones, instalaciones y obras",funcional
3,995207839.0,2010,Tasas y otros ingresos,funcional
30,178882200.0,2010,Tasas por la prestación de servicios públicos básicos,funcional
302,60000.0,2010,Servicio de recogida de basuras,funcional
303,168348000.0,2010,Servicio de tratamiento de residuos,funcional
309,10474200.0,2010,Otras tasas por prestación de servicios básicos,funcional
31,40899000.0,2010,Tasas por la prestación de servicios públicos de carácter social y preferente,funcional
311,1150000.0,2010,Servicios asistenciales,funcional
313,39449000.0,2010,Servicios deportivos,funcional
319,300000.0,2010,Otras tasas por prestación de servicios de carácter preferente,funcional
32,40865000.0,2010,Tasas por la realización de actividades de competencia local,funcional
321,11601000.0,2010,Licencias urbanísticas,funcional
322,2057000.0,2010,Cedulas de habitabilidad y licencias de primera ocupación,funcional
325,1126000.0,2010,Tasa por expedición de documentos,funcional
326,24990000.0,2010,Tasa por retirada de vehículos,funcional
329,1091000.0,2010,Otras tasas por la realización de actividades de competencia local,funcional
33,273838000.0,2010,Tasas por la utilización privativa o el aprovechamiento especial del dominio público local,funcional
330,87801000.0,2010,Tasa de estacionamiento de vehículos,funcional
331,42300000.0,2010,Tasa por entrada de vehículos,funcional
332,39365000.0,2010,Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de suministros,funcional
333,21016000.0,2010,Tasa por utilización privativa o aprovechamiento especial por empresas explotadoras de servicios de telecomunicaciones,funcional
334,300000.0,2010,Tasa por apertura de calas y zanjas,funcional
335,8000000.0,2010,Tasa por ocupación de la vía pública con terrazas,funcional
338,47097000.0,2010,Compensación de Telefónica de España SA,funcional
339,27959000.0,2010,Otras tasas por utilización privativa del dominio público,funcional
34,17215086.0,2010,Precios públicos,funcional
342,56000.0,2010,Servicios educativos,funcional
349,17159086.0,2010,Otros precios públicos,funcional
35,16336000.0,2010,Contribuciones especiales,funcional
351,16336000.0,2010,Para el establecimiento o ampliación de servicios,funcional
36,129500.0,2010,Ventas,funcional
38,6000000.0,2010,Reintegros de operaciones corrientes,funcional
389,6000000.0,2010,Otros reintegros de operaciones corrientes,funcional
39,421043053.0,2010,Otros ingresos,funcional
391,301695335.0,2010,Multas,funcional
391-00,7000000.0,2010,Multas por infracciones urbanísticas,funcional
391-10,8800000.0,2010,Multas por infracciones tributarias y análogas,funcional
391-20,260000000.0,2010,Multas por infracciones de la Ordenanza de circulación,funcional
391-90,25895335.0,2010,Otras multas y sanciones,funcional
392,23523000.0,2010,Recargos del periodo ejecutivo y por declaración extemporánea sin requerimiento previo,funcional
392-00,1980000.0,2010,Rec. declaración extemporania sin requerimiento previo,funcional
392-10,4700000.0,2010,Recargo ejecutivo,funcional
392-11,16843000.0,2010,Recargo de apremio,funcional
393,12726000.0,2010,Intereses de demora,funcional
396,11650000.0,2010,Ingresos por actuaciones de urbanización,funcional
396-10,11650000.0,2010,Cuotas de urbanización,funcional
397,25868678.0,2010,Aprovechamientos urbanísticos,funcional
397-10,25868678.0,2010,Otros ingresos por aprovechamientos urbanísticos,funcional
399,45580040.0,2010,Otros ingresos diversos,funcional
4,1269462175.0,2010,Transferencias corrientes,funcional
42,1160738875.0,2010,De la Administración del Estado,funcional
420,1159847000.0,2010,De la Administración General del Estado,funcional
420-10,1084944000.0,2010,Fondo Complementario de Financiación,funcional
420-20,5288000.0,2010,Compensación por beneficios fiscales,funcional
420-90,69615000.0,2010,Otras transferencias corrientes de la Administración General del Estado,funcional
421,550875.0,2010,De Organismos Autónomos y agencias estatales,funcional
421-90,550875.0,2010,De otros Organismos Autónomos y Agencias,funcional
423,341000.0,2010,"De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos",funcional
423-00,341000.0,2010,De Loterías y Apuestas del Estado,funcional
45,107818262.0,2010,De Comunidades Autónomas,funcional
450,103318262.0,2010,De la Administración General de las Comunidades Autónomas,funcional
450-02,86747124.0,2010,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y,funcional
450-30,14992639.0,2010,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación,funcional
450-50,1030952.0,2010,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Empleo y Desarrollo,funcional
450-60,547547.0,2010,Otras transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma,funcional
451,4500000.0,2010,De Organismos Autónomos y agencias de las Comunidades Autónomas,funcional
48,200000.0,2010,De Familias e Instituciones sin fines de lucro,funcional
49,705038.0,2010,Del Exterior,funcional
491,674371.0,2010,Del Fondo de Desarrollo Regional,funcional
497,30667.0,2010,Otras transferencias de la Unión Europea,funcional
5,307746000.0,2010,Ingresos patrimoniales,funcional
52,2700000.0,2010,Intereses de depósitos,funcional
53,1853478.0,2010,Dividendos y participación beneficios,funcional
534,1853478.0,2010,"De Sociedades mercantiles, entidades públicas empresariales y otros organismos públicos",funcional
534-00,1853478.0,2010,De sociedades y entidades dependientes de las entidades locales,funcional
54,650.0,2010,Rentas de bienes inmuebles,funcional
549,650.0,2010,Otras rentas de bienes inmuebles,funcional
55,303191872.0,2010,Productos de concesiones y aprovechamientos especiales,funcional
550,32491709.0,2010,De concesiones administrativas con contraprestación periódica,funcional
551,266753377.0,2010,De concesiones administrativas con contraprestación no periódica,funcional
552,3756786.0,2010,Derecho de superficie con contraprestación periódica,funcional
559,190000.0,2010,Otras concesiones y aprovechamientos,funcional
6,147667986.0,2010,Enajenación de inversiones reales,funcional
60,147667986.0,2010,De Terrenos,funcional
603,147667986.0,2010,Patrimonio público del suelo,funcional
7,82840911.0,2010,Transferencias de capital,funcional
72,9000.0,2010,De la Administración del Estado,funcional
723,9000.0,2010,"De sociedades mercantiles estatales, entidades públicas empresariales y otros organismos públicos",funcional
723-00,9000.0,2010,De Loterías y Apuestas del Estado,funcional
75,4099999.0,2010,De Comunidades Autónomas,funcional
